company,model,year,condition,mileage(km),fuel,volume(cm3),color,transmission,drive_unit,vehicle_size_class,priceUSD
opel,zafira,2007,with mileage,280000.0,diesel,1900.0,black,mechanics,front-wheel drive,M,6600
opel,kadett,1986,with mileage,450000.0,diesel,1600.0,black,mechanics,front-wheel drive,C,450
renault,clio,2009,with mileage,274218.0,diesel,1500.0,black,mechanics,front-wheel drive,B,4950
fiat,palio,1999,with mileage,467000.0,petrol,1600.0,burgundy,mechanics,front-wheel drive,B,1300
kia,carens,2004,with mileage,310000.0,diesel,2000.0,blue,mechanics,front-wheel drive,M,4500
volvo,xc90,2015,with mileage,102000.0,petrol,2000.0,red,auto,all-wheel drive,J,35800
bmw,x5,2010,with mileage,172000.0,petrol,3000.0,brown,auto,part-time four-wheel drive,J,18000
great-wall,peri,2008,with mileage,267.0,petrol,1300.0,red,mechanics,front-wheel drive,,3000
toyota,rav4,2014,with mileage,64000.0,petrol,2500.0,gray,auto,all-wheel drive,J,22500
great-wall,hover-h5,2015,with mileage,29000.0,petrol,2400.0,other,mechanics,part-time four-wheel drive,J,12800
volkswagen,passat,1990,with mileage,337000.0,diesel,1900.0,blue,mechanics,front-wheel drive,D,1000
audi,80,1991,with mileage,492000.0,petrol,1600.0,white,mechanics,front-wheel drive,D,1200
volvo,v40,1998,with mileage,380000.0,petrol,1600.0,black,mechanics,front-wheel drive,C,2299
audi,100,1993,with mileage,468753.0,petrol,2600.0,blue,mechanics,front-wheel drive,E,2100
peugeot,406,2001,with mileage,308000.0,petrol,2000.0,silver,mechanics,front-wheel drive,D,3000
skoda,yeti,2011,with mileage,114000.0,petrol,1800.0,black,mechanics,part-time four-wheel drive,J,9500
volvo,xc60,2010,with mileage,289000.0,diesel,2400.0,black,auto,all-wheel drive,J,22700
ford,explorer,2016,with mileage,74000.0,petrol,2300.0,red,auto,front-wheel drive,J,22950
mercedes-benz,e-klass,2004,with mileage,440000.0,diesel,2700.0,silver,auto,rear drive,E,8300
lexus,nx,2017,with mileage,49000.0,petrol,2000.0,black,auto,part-time four-wheel drive,,34999
volkswagen,golf,1996,with mileage,274339.0,petrol,1800.0,green,mechanics,front-wheel drive,C,2450
bmw,x5,2014,with mileage,220000.0,diesel,3000.0,gray,auto,all-wheel drive,J,37500
peugeot,605,1995,with mileage,333333.0,diesel,2500.0,blue,mechanics,front-wheel drive,E,1400
citroen,c5,2010,with mileage,124000.0,petrol,1600.0,white,auto,front-wheel drive,D,8999
gaz,67,1952,with mileage,25000.0,petrol,3300.0,green,mechanics,all-wheel drive,,12500
mazda,3,2007,with mileage,207000.0,petrol,1600.0,blue,auto,front-wheel drive,C,5514
lada-vaz,2106,1988,with mileage,352234.0,petrol,1600.0,yellow,mechanics,rear drive,B,500
fiat,brava,1997,with mileage,9999999.0,petrol,1400.0,green,mechanics,front-wheel drive,C,1100
volkswagen,passat,2001,with mileage,224000.0,diesel,1900.0,green,mechanics,front-wheel drive,D,5000
ford,grand-c-max,2016,with mileage,164000.0,diesel,1500.0,gray,mechanics,front-wheel drive,,11750
mazda,3,2014,with mileage,38326.0,petrol,1500.0,gray,auto,front-wheel drive,C,14499
audi,a6,2007,with mileage,288000.0,diesel,2000.0,gray,mechanics,front-wheel drive,E,9800
peugeot,407,2004,with mileage,380000.0,diesel,2000.0,gray,mechanics,front-wheel drive,D,5300
renault,duster,2015,with mileage,82000.0,petrol,2000.0,other,mechanics,part-time four-wheel drive,J,11012
citroen,c5,2008,with mileage,146000.0,petrol,1800.0,black,mechanics,front-wheel drive,D,11000
mercedes-benz,gl-klass,2007,with mileage,365000.0,petrol,5000.0,black,auto,part-time four-wheel drive,J,12000
bmw,3-seriya,1998,with mileage,294000.0,petrol,1800.0,gray,mechanics,rear drive,D,4100
bmw,7-seriya,2002,with mileage,303000.0,petrol,4500.0,blue,auto,rear drive,F,7100
bmw,7-seriya,2008,with mileage,228200.0,diesel,3000.0,other,auto,rear drive,F,17500
honda,accord,2005,with mileage,270000.0,diesel,2200.0,gray,mechanics,front-wheel drive,D,7000
toyota,carina-e,1997,with mileage,400000.0,petrol,1600.0,black,mechanics,front-wheel drive,E,950
toyota,avensis,2010,with mileage,189000.0,diesel,2000.0,white,mechanics,front-wheel drive,D,13000
bmw,3-seriya,2003,with mileage,360.0,diesel,2000.0,silver,mechanics,rear drive,D,6700
hyundai,tucson,2015,with mileage,153000.0,petrol,2000.0,black,auto,front-wheel drive,J,18000
bmw,x6,2009,with mileage,250000.0,diesel,3500.0,other,auto,all-wheel drive,J,18000
opel,astra,2006,with mileage,262000.0,petrol,1600.0,blue,auto,front-wheel drive,C,4600
volkswagen,passat,2010,with mileage,315000.0,petrol,1400.0,gray,auto,front-wheel drive,D,8000
renault,scenic,2010,with mileage,175000.0,petrol,1600.0,silver,mechanics,front-wheel drive,M,7450
renault,laguna,2010,with mileage,236000.0,diesel,1500.0,black,mechanics,front-wheel drive,D,7550
citroen,c3,2007,with mileage,140000.0,petrol,1400.0,black,auto,front-wheel drive,B,3200
nissan,100nx,1994,with mileage,333333.0,petrol,1600.0,black,mechanics,front-wheel drive,,723
citroen,c4-picasso,2010,with mileage,147000.0,petrol,1600.0,black,auto,front-wheel drive,C,7700
bmw,5-seriya,2003,with mileage,432000.0,diesel,2500.0,silver,mechanics,rear drive,E,7000
bmw,m3,2008,with mileage,149000.0,petrol,4000.0,blue,mechanics,rear drive,,24999
peugeot,3008,2013,with mileage,109500.0,petrol,1600.0,silver,mechanics,front-wheel drive,C,8033
mercedes-benz,clk,1997,with mileage,330000.0,petrol,3200.0,blue,auto,rear drive,D,4500
volkswagen,polo,2014,with mileage,122000.0,petrol,1000.0,white,mechanics,front-wheel drive,B,8700
ford,escape,2004,with mileage,168980.7,petrol,3000.0,black,auto,all-wheel drive,J,5700
ford,galaxy,2005,with mileage,350000.0,diesel,1900.0,blue,mechanics,front-wheel drive,M,7500
peugeot,406,2000,with mileage,276.0,petrol,2000.0,green,auto,front-wheel drive,D,3450
volkswagen,golf,1993,with mileage,43000.0,petrol,1400.0,blue,mechanics,front-wheel drive,C,1200
volkswagen,passat,2011,with mileage,135000.0,petrol,1800.0,white,auto,front-wheel drive,D,8300
volvo,850,1995,with mileage,111111.0,petrol,2500.0,white,mechanics,front-wheel drive,D,3200
volkswagen,caravelle,2006,with mileage,291126.0,diesel,2460.0,blue,mechanics,front-wheel drive,M,10500
ford,fiesta,2002,with mileage,180000.0,diesel,1400.0,silver,mechanics,front-wheel drive,B,3350
opel,astra,2015,with mileage,140000.0,diesel,1600.0,other,mechanics,front-wheel drive,C,9400
volkswagen,caddy,2013,with mileage,140000.0,petrol,1200.0,gray,mechanics,front-wheel drive,M,11900
volkswagen,passat,2015,with mileage,189000.0,petrol,1400.0,white,auto,front-wheel drive,D,13800
chrysler,pacifica,2007,with mileage,251000.0,petrol,4000.0,other,auto,front-wheel drive,,10500
audi,a6,2012,with mileage,123500.0,petrol,2000.0,gray,auto,all-wheel drive,E,13750
toyota,yaris,1999,with mileage,230000.0,petrol,1000.0,yellow,mechanics,front-wheel drive,B,2950
volkswagen,polo-sedan,2015,with mileage,52300.0,petrol,1600.0,brown,mechanics,front-wheel drive,B,8700
peugeot,partner,2010,with mileage,250000.0,petrol,1400.0,white,mechanics,front-wheel drive,M,4350
ford,mondeo,2000,with mileage,300000.0,petrol,1800.0,blue,mechanics,front-wheel drive,D,3500
peugeot,508,2012,with mileage,230000.0,diesel,2000.0,silver,auto,front-wheel drive,D,9600
toyota,lite-ace,1986,with mileage,350000.0,petrol,2000.0,red,mechanics,rear drive,,1100
volkswagen,sharan,2005,with mileage,309000.0,diesel,1900.0,silver,mechanics,front-wheel drive,,8350
mitsubishi,outlander,2008,with mileage,160000.0,petrol,2400.0,gray,auto,all-wheel drive,J,7950
bmw,3-seriya,1999,with mileage,428000.0,petrol,1900.0,red,mechanics,rear drive,D,4200
volkswagen,touran,2006,with mileage,340000.0,diesel,1893.0,other,auto,front-wheel drive,M,6000
ford,mondeo,1995,with mileage,330000.0,diesel,1800.0,green,mechanics,front-wheel drive,D,1450
chevrolet,cruze,2011,with mileage,146280.0,petrol,1400.0,blue,auto,front-wheel drive,C,7350
peugeot,expert,2001,with mileage,560.0,diesel,2000.0,blue,mechanics,front-wheel drive,M,4300
opel,astra,2013,with mileage,104000.0,petrol,1600.0,gray,mechanics,front-wheel drive,C,7550
audi,a6,1999,with mileage,281000.0,diesel,1900.0,black,mechanics,front-wheel drive,E,5980
suzuki,vitara,2016,with mileage,29000.0,petrol,1600.0,white,auto,part-time four-wheel drive,,20000
chrysler,concorde,2001,with mileage,270000.0,petrol,2700.0,silver,auto,front-wheel drive,E,2700
audi,s4,2009,with mileage,160000.0,petrol,3000.0,gray,auto,all-wheel drive,,14800
peugeot,308,2015,with mileage,178000.0,diesel,1600.0,gray,mechanics,front-wheel drive,C,11350
bmw,5-seriya,1999,with mileage,390000.0,diesel,2500.0,silver,auto,rear drive,E,3500
volkswagen,transporter,1998,with mileage,99999.0,diesel,1900.0,white,mechanics,front-wheel drive,M,4900
opel,omega,2001,with damage,386000.0,diesel,2200.0,silver,mechanics,rear drive,E,1600
volkswagen,vento,1993,with mileage,195000.0,petrol,1800.0,red,mechanics,front-wheel drive,,1750
volkswagen,touran,2010,with mileage,180000.0,petrol,1400.0,white,auto,front-wheel drive,M,8600
acura,tl,2004,with mileage,254275.72,petrol,3200.0,silver,auto,front-wheel drive,,5500
peugeot,806,1999,with mileage,500000.0,diesel,2000.0,silver,mechanics,front-wheel drive,M,3900
bmw,x5,2008,with mileage,335000.0,diesel,3000.0,black,auto,part-time four-wheel drive,J,19900
mitsubishi,lancer,2008,with mileage,150000.0,petrol,1800.0,blue,auto,front-wheel drive,C,6500
rover,600,1997,with mileage,210000.0,petrol,2000.0,red,mechanics,front-wheel drive,E,1300
toyota,land-cruiser-prado,2018,with mileage,84000.0,diesel,2800.0,silver,auto,all-wheel drive,J,49000
volkswagen,passat,2010,with mileage,180000.0,petrol,1400.0,black,auto,front-wheel drive,D,8000
audi,a6,2010,with mileage,156494.0,petrol,3000.0,gray,auto,all-wheel drive,E,15500
audi,100,1991,with mileage,280000.0,petrol,2300.0,silver,mechanics,front-wheel drive,E,2100
ford,granada,1984,with mileage,250000.0,petrol,2000.0,brown,mechanics,rear drive,,1150
mitsubishi,outlander,2008,with mileage,151000.0,petrol,2000.0,black,mechanics,all-wheel drive,J,7850
gaz,3110,2000,with mileage,176000.0,petrol,2400.0,white,mechanics,rear drive,E,650
mazda,6,2011,with mileage,130000.0,petrol,1800.0,burgundy,mechanics,front-wheel drive,D,9600
bmw,3-seriya,2019,with mileage,10.0,diesel,1995.0,gray,auto,all-wheel drive,D,47466
rover,600,1994,for parts,407307.0,petrol,2300.0,burgundy,auto,front-wheel drive,E,550
mitsubishi,carisma,1997,with mileage,400000.0,petrol,1600.0,white,mechanics,front-wheel drive,M,1500
mazda,626,1995,with mileage,360000.0,petrol,1800.0,blue,mechanics,front-wheel drive,C,1000
peugeot,406,2001,with mileage,305000.0,petrol,1800.0,silver,mechanics,front-wheel drive,D,3100
peugeot,3008,2014,with mileage,90000.0,petrol,1600.0,other,mechanics,front-wheel drive,C,11800
porsche,cayenne,2004,with mileage,300000.0,petrol,4500.0,black,auto,all-wheel drive,J,17000
land-rover,freelander,2005,with mileage,312000.0,diesel,2000.0,black,mechanics,part-time four-wheel drive,J,6250
opel,zafira,2001,with mileage,290000.0,petrol,1800.0,silver,mechanics,front-wheel drive,M,4650
toyota,prius-v-plus,2015,with mileage,122309.84,petrol,1800.0,white,auto,front-wheel drive,M,20500
volkswagen,passat,1988,with mileage,280000.0,petrol,1800.0,gray,mechanics,front-wheel drive,D,950
volvo,v90,2016,with mileage,205000.0,diesel,2000.0,silver,auto,all-wheel drive,,33800
daewoo,leganza,1998,with mileage,194000.0,petrol,2000.0,green,mechanics,front-wheel drive,E,1050
jeep,grand-cherokee,2004,with mileage,327350.0,diesel,2700.0,gray,auto,all-wheel drive,J,8000
volkswagen,passat,2009,with mileage,350000.0,diesel,1600.0,brown,mechanics,front-wheel drive,D,8600
mazda,6,2008,with mileage,114000.0,petrol,2000.0,silver,mechanics,front-wheel drive,D,7800
nissan,x-trail,2015,with mileage,57000.0,petrol,2000.0,gray,auto,part-time four-wheel drive,J,16999
mercedes-benz,c-klass,2006,with mileage,260000.0,diesel,2200.0,black,auto,rear drive,D,8900
volkswagen,golf,2004,with mileage,310765.0,diesel,2000.0,gray,mechanics,front-wheel drive,C,4750
renault,laguna,1999,with mileage,320000.0,petrol,1800.0,silver,mechanics,front-wheel drive,D,2200
renault,kadjar,2016,with mileage,159000.0,diesel,1500.0,black,mechanics,front-wheel drive,J,15400
renault,espace,2001,with mileage,356000.0,diesel,1900.0,blue,mechanics,front-wheel drive,J,3200
opel,vectra,2001,with mileage,221000.0,diesel,2200.0,silver,mechanics,front-wheel drive,D,3999
lexus,gs,2006,with mileage,108200.0,petrol,3000.0,black,auto,rear drive,E,11450
bmw,x5,2001,with mileage,1.0,petrol,4400.0,silver,auto,all-wheel drive,J,7000
peugeot,806,1995,with mileage,400300.0,petrol,2000.0,red,mechanics,front-wheel drive,M,2600
bmw,x5,2002,with mileage,280000.0,diesel,3000.0,black,auto,all-wheel drive,J,8400
bmw,3-seriya,2002,with mileage,200600.0,diesel,2000.0,silver,mechanics,rear drive,D,5000
nissan,qashqai,2016,with mileage,107000.0,diesel,1500.0,burgundy,mechanics,front-wheel drive,J,15900
kia,spectra,2007,with mileage,170600.0,petrol,1600.0,other,auto,front-wheel drive,,3000
audi,q5,2009,with mileage,187000.0,petrol,3200.0,white,auto,all-wheel drive,J,12995
volkswagen,golf,1994,with mileage,284000.0,diesel,1900.0,white,mechanics,front-wheel drive,C,600
citroen,c5,2001,with mileage,350000.0,diesel,2000.0,green,mechanics,front-wheel drive,D,4000
renault,safrane,1997,with mileage,400000.0,petrol,2000.0,green,mechanics,front-wheel drive,E,1200
peugeot,405,1995,with mileage,310000.0,petrol,1600.0,burgundy,mechanics,front-wheel drive,D,1250
nissan,terrano,2018,with mileage,7100.0,petrol,2000.0,gray,mechanics,part-time four-wheel drive,J,16114
ford,s-max,2008,with mileage,248000.0,diesel,1800.0,gray,mechanics,front-wheel drive,D,9000
volkswagen,passat,2002,with mileage,520000.0,diesel,2500.0,gray,auto,front-wheel drive,D,4500
bmw,5-seriya,2001,with mileage,409500.0,diesel,2500.0,silver,mechanics,rear drive,E,5400
volkswagen,passat,2016,with mileage,71800.0,diesel,1968.0,black,auto,front-wheel drive,D,23292
volkswagen,touran,2009,with mileage,335000.0,petrol,1400.0,silver,auto,front-wheel drive,M,7500
mercedes-benz,vaneo,2002,with mileage,350000.0,diesel,1700.0,white,mechanics,front-wheel drive,,3199
ford,galaxy,2013,with mileage,166000.0,diesel,2000.0,gray,auto,front-wheel drive,M,17350
audi,80,1989,with mileage,320000.0,petrol,1800.0,silver,mechanics,front-wheel drive,D,1283
volkswagen,transporter,1993,with mileage,380000.0,diesel,2400.0,white,mechanics,front-wheel drive,M,5750
ford,focus,2004,with mileage,402335.0,petrol,2000.0,silver,mechanics,front-wheel drive,C,2450
bmw,5-seriya,2000,with mileage,330000.0,diesel,2000.0,black,mechanics,rear drive,E,3999
subaru,outback,1996,with mileage,310000.0,petrol,2000.0,burgundy,auto,all-wheel drive,D,3299
opel,zafira,2010,with mileage,267000.0,diesel,1900.0,other,auto,front-wheel drive,M,8400
peugeot,807,2010,with mileage,243000.0,diesel,2000.0,silver,auto,front-wheel drive,M,10500
mercedes-benz,e-klass,2008,with mileage,128000.0,petrol,2500.0,black,auto,rear drive,E,12500
lada-vaz,2121-niva,2002,with mileage,70000.0,petrol,1700.0,burgundy,mechanics,part-time four-wheel drive,J,2435
opel,astra,2000,with mileage,292500.0,diesel,1700.0,silver,mechanics,front-wheel drive,C,2700
volkswagen,passat,2016,with mileage,195654.0,diesel,2000.0,gray,auto,front-wheel drive,D,17650
volkswagen,polo-sedan,2015,with mileage,87000.0,petrol,1600.0,silver,mechanics,front-wheel drive,B,9500
opel,astra,2008,with mileage,160000.0,petrol,1400.0,blue,mechanics,front-wheel drive,C,5000
nissan,note,2008,with mileage,177000.0,petrol,1400.0,blue,mechanics,front-wheel drive,M,4800
mercedes-benz,m-klass,2001,with mileage,300.0,petrol,3200.0,silver,auto,all-wheel drive,J,6500
hyundai,creta,2016,with mileage,48000.0,petrol,1600.0,orange,mechanics,front-wheel drive,J,12800
mazda,323,1987,with mileage,385600.0,petrol,1500.0,gray,mechanics,front-wheel drive,C,500
peugeot,207,2009,with mileage,156000.0,petrol,1400.0,silver,mechanics,front-wheel drive,B,4999
skoda,kodiaq,2019,with mileage,0.0,diesel,2000.0,gray,auto,all-wheel drive,J,37450
dacia,logan,2009,with mileage,262000.0,petrol,1400.0,blue,mechanics,front-wheel drive,B,4899
renault,laguna,2002,with mileage,240000.0,diesel,1900.0,silver,mechanics,front-wheel drive,D,3950
volkswagen,passat,2006,with mileage,266000.0,diesel,2000.0,blue,mechanics,front-wheel drive,D,6800
chrysler,pt-cruiser,2002,with mileage,330000.0,diesel,2200.0,silver,mechanics,front-wheel drive,,3500
lada-vaz,2106,2002,with mileage,111111.0,petrol,1600.0,green,mechanics,rear drive,B,750
nissan,murano,2008,with mileage,168980.7,petrol,3500.0,silver,auto,part-time four-wheel drive,J,8500
renault,espace,2002,with mileage,308660.0,diesel,2200.0,gray,mechanics,front-wheel drive,J,4300
renault,scenic,2001,with mileage,300000.0,petrol,1600.0,green,mechanics,front-wheel drive,M,3999
mercedes-benz,s-klass,1982,with mileage,500000.0,diesel,3000.0,gray,auto,rear drive,S,3300
citroen,xsara,2001,with mileage,220000.0,petrol,1600.0,silver,mechanics,front-wheel drive,C,2100
volkswagen,passat,1999,with mileage,500000.0,diesel,1900.0,blue,mechanics,front-wheel drive,D,3900
lancia,phedra,2002,with mileage,335000.0,diesel,2200.0,gray,mechanics,front-wheel drive,,4950
mercedes-benz,clk,1999,with mileage,315000.0,petrol,3200.0,black,auto,rear drive,D,7500
mazda,6,2011,with mileage,180.0,petrol,1800.0,white,mechanics,front-wheel drive,D,8800
renault,megane,1998,with mileage,360000.0,diesel,1900.0,blue,mechanics,front-wheel drive,C,1700
mitsubishi,mirage,2000,with mileage,450615.2,petrol,1500.0,white,mechanics,front-wheel drive,,2270
volkswagen,sharan,2001,with mileage,422000.0,diesel,1900.0,silver,auto,front-wheel drive,,4500
chrysler,voyager,1999,with mileage,350000.0,diesel,2500.0,black,mechanics,front-wheel drive,M,3000
audi,a6,1999,with mileage,460000.0,petrol,2400.0,green,mechanics,front-wheel drive,E,4991
mazda,mpv,2002,with mileage,265000.0,diesel,2000.0,silver,mechanics,front-wheel drive,M,4000
kia,ceed,2011,with mileage,165000.0,petrol,2000.0,blue,auto,front-wheel drive,C,8000
renault,scenic,2001,with mileage,300000.0,petrol,1600.0,silver,mechanics,front-wheel drive,M,3950
audi,a8,1997,with mileage,340000.0,petrol,3700.0,purple,auto,front-wheel drive,F,4400
renault,duster,2016,with mileage,51000.0,petrol,2000.0,silver,mechanics,part-time four-wheel drive,J,10800
cadillac,escalade,2007,with mileage,151000.0,petrol,6200.0,red,auto,part-time four-wheel drive,J,14500
volkswagen,golf,1997,with mileage,250000.0,petrol,1400.0,red,mechanics,front-wheel drive,C,2500
audi,a8,2004,with mileage,281213.0,petrol,4200.0,silver,auto,part-time four-wheel drive,F,5600
volkswagen,transporter,2006,with mileage,320000.0,diesel,2500.0,white,mechanics,front-wheel drive,M,8000
hyundai,lantra,1994,with mileage,368321.0,petrol,1500.0,blue,mechanics,front-wheel drive,C,400
chevrolet,cruze,2011,with mileage,82076.34,petrol,1400.0,burgundy,auto,front-wheel drive,C,9950
audi,a6,2007,with mileage,360000.0,diesel,2000.0,black,mechanics,front-wheel drive,E,7999
skoda,octavia,2017,with mileage,139000.0,petrol,1400.0,brown,auto,front-wheel drive,C,16600
citroen,c5,2001,with mileage,365000.0,diesel,2000.0,gray,mechanics,front-wheel drive,D,4100
mazda,cx-7,2008,with mileage,160000.0,petrol,2300.0,silver,mechanics,all-wheel drive,J,9000
renault,scenic,1997,with mileage,280000.0,petrol,1600.0,blue,mechanics,front-wheel drive,M,1999
volkswagen,caddy,2007,with mileage,200000.0,diesel,1900.0,blue,mechanics,front-wheel drive,M,6100
volvo,440,1995,with mileage,210000.0,petrol,1800.0,blue,mechanics,front-wheel drive,C,1700
honda,element,2004,with mileage,239791.66,petrol,2400.0,silver,mechanics,part-time four-wheel drive,,7500
citroen,xantia,1997,with mileage,300000.0,diesel,1900.0,red,mechanics,front-wheel drive,D,1300
bmw,3-seriya,1986,with mileage,0.0,petrol,1800.0,black,mechanics,rear drive,D,600
kia,sportage,2014,with mileage,123000.0,petrol,2000.0,black,auto,part-time four-wheel drive,J,15750
ford,galaxy,2008,with mileage,223500.0,petrol,2000.0,silver,mechanics,front-wheel drive,M,10000
bmw,5-seriya,2002,with mileage,400000.0,diesel,3000.0,silver,auto,rear drive,E,6200
fiat,tempra,1993,with mileage,200000.0,petrol,1600.0,brown,mechanics,front-wheel drive,D,1500
kia,sorento,2003,with mileage,344000.0,diesel,2500.0,silver,auto,part-time four-wheel drive,J,7390
honda,civic,2009,with mileage,220000.0,petrol,1300.0,brown,auto,front-wheel drive,C,6500
citroen,c4-grand-picasso,2008,with mileage,120000.0,petrol,1600.0,blue,mechanics,front-wheel drive,C,7300
volkswagen,passat,2002,with mileage,33000.0,petrol,1800.0,silver,auto,front-wheel drive,D,4750
mitsubishi,outlander,2012,with mileage,165000.0,petrol,2000.0,silver,auto,front-wheel drive,J,12500
peugeot,407,2007,with mileage,275333.0,petrol,2200.0,other,auto,front-wheel drive,D,4650
renault,laguna,1999,with mileage,285000.0,diesel,1900.0,silver,mechanics,front-wheel drive,D,2950
volkswagen,golf,2011,with mileage,181877.0,petrol,1600.0,black,auto,front-wheel drive,C,7450
hyundai,ix35,2015,with damage,90000.0,petrol,2000.0,black,auto,front-wheel drive,J,8300
bmw,7-seriya,2009,with mileage,153000.0,petrol,4400.0,black,auto,all-wheel drive,F,12500
renault,19,1991,with mileage,300000.0,petrol,1800.0,gray,mechanics,front-wheel drive,C,1000
bmw,3-seriya,1996,with mileage,430000.0,petrol,1800.0,blue,mechanics,rear drive,D,2190
nissan,primera,2000,with mileage,220000.0,petrol,2000.0,blue,mechanics,front-wheel drive,D,1700
opel,vectra,1998,with mileage,332711.0,petrol,1600.0,green,mechanics,front-wheel drive,D,1900
renault,sandero,2017,with mileage,25248.0,petrol,1600.0,silver,mechanics,front-wheel drive,B,9250
audi,100,1990,with mileage,350000.0,petrol,2300.0,black,mechanics,front-wheel drive,E,999
ford,mondeo,2005,with mileage,230000.0,diesel,2200.0,silver,mechanics,front-wheel drive,D,4950
bmw,7-seriya,2009,with mileage,146000.0,petrol,4400.0,black,auto,rear drive,F,16000
volkswagen,golf,1993,with mileage,100000.0,petrol,1400.0,red,mechanics,front-wheel drive,C,951
volkswagen,golf-plus,2011,with mileage,106000.0,petrol,1600.0,silver,mechanics,front-wheel drive,C,8599
ford,mondeo,2003,with mileage,295000.0,diesel,1998.0,silver,mechanics,front-wheel drive,D,4200
skoda,octavia,1998,with mileage,230000.0,petrol,1800.0,green,mechanics,front-wheel drive,C,2300
mazda,626,1993,with mileage,356000.0,diesel,2000.0,red,mechanics,front-wheel drive,C,850
peugeot,3008,2010,with mileage,175000.0,petrol,1600.0,white,mechanics,front-wheel drive,C,7800
ford,mondeo,1999,with mileage,495000.0,diesel,1800.0,white,mechanics,front-wheel drive,D,1850
lada-vaz,2121-niva,2010,with mileage,22600.0,petrol,1700.0,burgundy,mechanics,front-wheel drive,J,4700
kia,sportage,2009,with mileage,195000.0,petrol,2000.0,other,mechanics,front-wheel drive,J,8500
toyota,carina-e,1993,with mileage,482000.0,petrol,2000.0,red,mechanics,front-wheel drive,E,1600
subaru,forester,2013,with mileage,91000.0,petrol,2500.0,black,auto,all-wheel drive,J,15800
mercedes-benz,vito,2016,with mileage,4900.0,petrol,2000.0,black,auto,rear drive,M,34999
mercedes-benz,a-klass,2005,with mileage,193000.0,petrol,1500.0,white,auto,front-wheel drive,A,3800
mercedes-benz,clk,1999,with mileage,216195.0,petrol,2300.0,silver,auto,rear drive,D,5000
moskvich,2140,1987,with mileage,41289.0,petrol,1500.0,brown,mechanics,rear drive,B,266
renault,laguna,2001,with mileage,360000.0,diesel,1900.0,other,mechanics,front-wheel drive,D,4000
fiat,marea,2001,with mileage,314000.0,diesel,1900.0,silver,mechanics,front-wheel drive,C,1700
honda,cr-v,2011,with mileage,114263.14,petrol,2400.0,other,auto,part-time four-wheel drive,J,13200
volkswagen,passat,2008,with mileage,243000.0,diesel,1900.0,gray,mechanics,front-wheel drive,D,7750
citroen,c4,2005,with mileage,325000.0,diesel,1600.0,red,mechanics,front-wheel drive,C,5650
subaru,legacy,1991,with mileage,410000.0,petrol,1800.0,gray,mechanics,all-wheel drive,D,700
citroen,c5,2010,with mileage,181000.0,petrol,1600.0,black,mechanics,front-wheel drive,D,6500
volkswagen,golf-plus,2013,with mileage,110000.0,petrol,1400.0,blue,mechanics,front-wheel drive,C,9200
audi,a6,2000,with mileage,276000.0,diesel,1900.0,blue,mechanics,front-wheel drive,E,6300
renault,espace,1997,with mileage,364000.0,petrol,2000.0,blue,mechanics,front-wheel drive,J,3300
honda,civic,2009,with mileage,220000.0,petrol,1300.0,black,auto,front-wheel drive,C,6700
hyundai,santamo,1999,with mileage,333.0,petrol,2000.0,green,mechanics,front-wheel drive,,2650
opel,vectra,2001,with mileage,360000.0,diesel,2200.0,blue,mechanics,front-wheel drive,D,3000
volkswagen,passat,2010,with mileage,218000.0,diesel,1600.0,other,mechanics,front-wheel drive,D,8750
brilliance,v5,2015,with mileage,42000.0,petrol,1600.0,blue,mechanics,front-wheel drive,,9500
chevrolet,captiva,2012,with mileage,101000.0,petrol,2400.0,black,auto,all-wheel drive,J,12450
honda,civic,2001,with mileage,245000.0,petrol,1600.0,silver,auto,front-wheel drive,C,3600
audi,q5,2009,with mileage,205000.0,diesel,3000.0,black,auto,part-time four-wheel drive,J,14900
lada-vaz,2103,1977,with mileage,99999.0,petrol,1500.0,blue,mechanics,rear drive,B,1000
seat,ibiza,1991,with mileage,230588.0,petrol,1193.0,other,mechanics,front-wheel drive,B,154
opel,kadett,1987,with mileage,222222.0,diesel,1700.0,red,mechanics,front-wheel drive,C,450
volkswagen,passat,1990,with mileage,495829.0,petrol,1800.0,black,mechanics,front-wheel drive,D,1000
mazda,6,2007,with mileage,204000.0,petrol,2300.0,red,mechanics,part-time four-wheel drive,D,7100
hyundai,coupe,2008,with mileage,168000.0,petrol,2700.0,red,auto,front-wheel drive,,6500
peugeot,306,1998,with mileage,200000.0,petrol,2000.0,burgundy,mechanics,front-wheel drive,C,1550
kia,sorento,2013,with mileage,141000.0,petrol,2400.0,green,auto,front-wheel drive,J,15800
audi,rs6,2003,with mileage,111111.0,petrol,4350.0,black,mechanics,all-wheel drive,,13500
nissan,primera,2002,with mileage,285000.0,petrol,2000.0,burgundy,mechanics,front-wheel drive,D,4000
opel,zafira,2009,with mileage,250000.0,petrol,1800.0,black,mechanics,front-wheel drive,M,8100
opel,astra,2001,with mileage,240000.0,petrol,1600.0,silver,mechanics,front-wheel drive,C,4100
renault,laguna,1996,with mileage,325800.0,petrol,1800.0,black,mechanics,front-wheel drive,D,2250
rover,400,1997,with mileage,264000.0,petrol,1400.0,blue,mechanics,front-wheel drive,B,1800
mercedes-benz,viano,2011,with mileage,374000.0,diesel,2200.0,black,auto,rear drive,M,19300
opel,astra,2010,with mileage,230000.0,diesel,1700.0,blue,mechanics,front-wheel drive,C,7500
