company,model,year,condition,mileage(km),fuel,volume(cm3),color,transmission,drive_unit,vehicle_size_class,priceUSD
mercedes-benz,s-klass,1994,with mileage,320.0,diesel,3500.0,green,auto,rear drive,S,8000
peugeot,207,2008,with mileage,160000.0,diesel,1400.0,silver,mechanics,front-wheel drive,B,4900
citroen,xantia,1998,with mileage,280000.0,petrol,1800.0,silver,mechanics,front-wheel drive,D,1500
ford,galaxy,2010,with mileage,315000.0,diesel,1800.0,silver,mechanics,front-wheel drive,M,11998
renault,laguna,2003,with mileage,290000.0,diesel,1900.0,other,mechanics,front-wheel drive,D,3300
honda,cr-v,2017,with mileage,25000.0,petrol,1500.0,silver,auto,front-wheel drive,J,22900
skoda,octavia,2010,with mileage,143000.0,petrol,1600.0,gray,mechanics,front-wheel drive,C,9700
peugeot,308,2008,with mileage,129000.0,petrol,1600.0,silver,mechanics,front-wheel drive,C,4658
opel,zafira,2015,with mileage,125000.0,diesel,1600.0,brown,mechanics,front-wheel drive,M,13000
bmw,3-seriya,2000,with mileage,187000.0,petrol,1900.0,black,mechanics,rear drive,D,4650
mercedes-benz,c-klass,1999,with mileage,360000.0,petrol,2000.0,blue,mechanics,rear drive,D,2100
renault,safrane,1997,with mileage,390000.0,petrol,2000.0,purple,mechanics,front-wheel drive,E,2200
volkswagen,touareg,2007,with mileage,243000.0,diesel,2500.0,silver,auto,all-wheel drive,J,11450
fiat,ulysse,2003,with mileage,321211.0,diesel,2200.0,silver,mechanics,front-wheel drive,M,5150
mercedes-benz,vaneo,2004,with mileage,232000.0,diesel,1700.0,silver,mechanics,front-wheel drive,,4700
nissan,note,2013,with mileage,80000.0,petrol,1200.0,white,mechanics,front-wheel drive,M,10700
honda,accord,1999,with mileage,198000.0,petrol,1800.0,black,mechanics,front-wheel drive,D,3100
citroen,xantia,1995,with mileage,355550.0,petrol,1600.0,other,mechanics,front-wheel drive,D,1300
hyundai,santa-fe,2009,with mileage,150000.0,petrol,2700.0,silver,auto,part-time four-wheel drive,J,12650
bmw,x6,2017,with mileage,106000.0,diesel,3000.0,black,auto,all-wheel drive,J,52500
volkswagen,jetta,2002,with mileage,210000.0,petrol,2000.0,blue,auto,front-wheel drive,C,4200
bmw,x5,2007,with mileage,183000.0,petrol,4800.0,black,auto,all-wheel drive,J,16500
citroen,c4,2008,with mileage,127000.0,petrol,1400.0,red,mechanics,front-wheel drive,C,4600
opel,vivaro,2008,with mileage,370000.0,diesel,2500.0,silver,auto,front-wheel drive,M,9999
proton,persona,1997,with mileage,300000.0,petrol,1300.0,purple,mechanics,front-wheel drive,,1000
nissan,almera-tino,2001,with mileage,200000.0,petrol,1800.0,green,mechanics,front-wheel drive,M,3600
bmw,5-seriya,2008,with mileage,270000.0,diesel,2000.0,black,mechanics,rear drive,E,11700
mitsubishi,space-wagon,2001,with mileage,400000.0,petrol,2400.0,silver,mechanics,front-wheel drive,M,3400
ford,s-max,2016,with mileage,143000.0,diesel,2000.0,blue,mechanics,front-wheel drive,D,16850
ford,escort,1998,with mileage,360000.0,petrol,1600.0,green,mechanics,front-wheel drive,C,300
opel,vectra,1996,with mileage,300000.0,petrol,1800.0,blue,mechanics,front-wheel drive,D,2000
fiat,brava,1999,with mileage,330000.0,petrol,1200.0,burgundy,mechanics,front-wheel drive,C,1950
citroen,xantia,1995,with mileage,450000.0,petrol,1800.0,green,mechanics,front-wheel drive,D,600
audi,a6,2015,with mileage,172000.0,diesel,2000.0,other,mechanics,front-wheel drive,E,20900
volkswagen,sharan,2010,with mileage,136000.0,petrol,1400.0,silver,mechanics,front-wheel drive,,9850
saab,9-5,2002,with mileage,277000.0,petrol,2300.0,silver,auto,front-wheel drive,E,4000
bmw,5-seriya,1991,with mileage,4000000.0,petrol,2000.0,white,mechanics,rear drive,E,2150
volvo,440,1995,with mileage,304148.0,petrol,1800.0,silver,mechanics,front-wheel drive,C,950
daihatsu,yrv,2002,with mileage,180000.0,petrol,1300.0,silver,mechanics,front-wheel drive,,2400
kia,sportage,2012,with mileage,150000.0,petrol,2000.0,brown,auto,part-time four-wheel drive,J,13000
mercedes-benz,c-klass,2001,with mileage,278000.0,petrol,2000.0,black,auto,rear drive,D,5500
volkswagen,passat,2006,with mileage,300000.0,diesel,1900.0,black,mechanics,front-wheel drive,D,7200
audi,a8,2006,with mileage,150000.0,petrol,4200.0,black,auto,all-wheel drive,F,10600
nissan,almera-tino,2001,with mileage,290000.0,diesel,2200.0,green,mechanics,front-wheel drive,M,3400
audi,80,1992,with mileage,2222222.0,petrol,2000.0,silver,mechanics,front-wheel drive,D,1200
lada-vaz,largus,2014,with mileage,169500.0,petrol,1600.0,white,mechanics,front-wheel drive,B,5900
ford,c-max,2010,with mileage,200000.0,diesel,1600.0,gray,mechanics,front-wheel drive,M,7000
volvo,s80,2005,with mileage,203000.0,petrol,2500.0,silver,auto,all-wheel drive,E,6400
peugeot,607,2000,with mileage,180000.0,petrol,3000.0,green,auto,front-wheel drive,E,3500
opel,vectra,1991,with mileage,300000.0,petrol,1800.0,green,mechanics,front-wheel drive,D,650
skoda,superb,2013,with mileage,162750.0,diesel,1600.0,gray,mechanics,front-wheel drive,D,15950
citroen,berlingo,2011,with mileage,93000.0,petrol,1600.0,blue,mechanics,front-wheel drive,M,7200
honda,accord,2006,with mileage,267000.0,petrol,2000.0,silver,mechanics,front-wheel drive,D,6800
opel,omega,1997,with mileage,500000.0,petrol,2000.0,silver,mechanics,rear drive,E,2300
seat,alhambra,1999,with mileage,385000.0,diesel,1900.0,silver,mechanics,front-wheel drive,M,4200
